Symbol,Close,RS,EMA5,EMA20,EMA50,EMA200,MarketCap,Sector
OBEROIRLTY,1910.0,0.14082041618925123,1899.8475949276815,1817.5738373831693,1735.421498669609,1658.7893493609702,,
PAYTM,1340.0999755859375,0.1891432963768196,1292.6624228401913,1199.374074546342,1152.0370326980947,1149.2489681055363,,
OFSS,11814.0,0.6707896712927064,11442.469877806003,10790.259676775628,9997.166242492534,8648.689876852966,,
PHOENIXLTD,2136.5,0.20818312711048015,2100.8827371068187,1988.008619466755,1882.7534845570367,1759.160195328162,,
PIDILITIND,1577.300048828125,0.1590650413126451,1589.5479421024054,1577.1489164566528,1527.611570012024,1476.3310633518192,,
PREMIERENE,1103.5999755859375,0.12938814164306733,1084.9902481739348,1060.2548189005295,1033.4847805928462,965.4550657914004,,
PRESTIGE,1715.0,0.29332183250781374,1694.1290212045533,1602.2479626691095,1508.2193394305998,1485.8018401723043,,
SHRIRAMFIN,1042.0,0.01699728317518434,1041.2614262184456,1021.2902473369211,992.4701000927,927.3944388894287,,
SOLARINDS,18081.0,0.28127128065706053,18062.9204246763,18034.44420598816,17432.080003042436,15514.316105749538,,
SONACOMS,666.9000244140625,0.2034299432390121,665.5050109077828,640.7223035481674,612.0671385821212,547.9040521818258,,
SUNPHARMA,1916.4000244140625,0.15786104693247038,1916.2550610099242,1877.6210878357133,1838.5348009720196,1763.7101369886934,,
TATATECH,734.9000244140625,0.31414806725642963,720.8566764688163,720.0906111466878,695.3161954391084,653.2115352864776,,
TITAN,4575.5,0.016182737054768692,4555.377095796427,4422.758411279293,4318.522048228165,4114.853073306845,,
TORNTPHARM,4927.2998046875,0.18490786222948108,4879.296832137483,4700.376770493912,4535.823187106029,4175.002698100913,,
ZYDUSLIFE,1133.5999755859375,0.23496383945181565,1143.0730707962641,1119.2296183123467,1070.696634164746,987.4406167397203,,
